Longitude,Latitude,Community,IncorporationType,AreaType,Population,Source,Year
-144.6981839,63.99574441,Healy Lake,Unincorporated CDP,Community,13,DOLWD Estimate,2011
-149.1179,64.6003000000001,Four Mile Road,Unincorporated CDP,Community,43,DOLWD Estimate,2011
-143.0117859,62.37195602,Nabesna,Unincorporated CDP,Place of Interest,5,DOLWD Estimate,2011
-145.371878,62.26858008,Gulkana,Unincorporated CDP,Community,119,DOLWD Estimate,2011
-155.4370226,61.3553888800001,Lime Village,Unincorporated CDP,Community,29,DOLWD Estimate,2011
-149.3482601,65.1521483400001,Minto,Unincorporated CDP,Community,210,DOLWD Estimate,2011
-145.8954491,64.1513819800001,Whitestone,Unincorporated CDP,Community,97,DOLWD Estimate,2011
-165.1072343,60.52954536,Toksook Bay,2nd Class City,Community,598,DCCED Commissioner Certified,2011
-163.41049,64.68127766,White Mountain,2nd Class City,Community,199,DCCED Commissioner Certified,2011
-152.5822723,57.7055350000001,Womens Bay,CDP,Place of Interest,719,DOLWD Estimate,2011
-149.4392242,60.10312795,Seward,Home Rule City,Community,2733,DCCED Commissioner Certified,2011
-161.1943563,64.3545557,Shaktoolik,2nd Class City,Community,258,DCCED Commissioner Certified,2011
-147.8028,64.8569000000001,College,CDP,Place of Interest,12964,DOLWD Estimate,2011
-150.2337668,62.31623367,Trapper Creek,CDP,Community,481,DOLWD Estimate,2011
-132.5228223,55.6854862600001,Thorne Bay,2nd Class City,Community,496,DCCED Commissioner Certified,2011
-139.7500324,59.5587609,Yakutat,Non-Unified Home Rule Borough,Community,656,DCCED Commissioner Certified,2011
-162.8541552,68.07171169,Red Dog Mine,CDP,Place of Interest,309,DOLWD Estimate,2011
-159.5305977,62.6553703500001,Shageluk,2nd Class City,Community,83,DCCED Commissioner Certified,2011
-151.0810742,60.53130471,Ridgeway,CDP,Community,2022,DOLWD Estimate,2011
-162.6763556,60.3427841600001,Tuntutuliak,Unincorporated CDP,Community,408,DOLWD Estimate,2011
-157.399544,57.51228753,Ugashik,CDP,Place of Interest,12,DOLWD Estimate,2011
-156.5882554,61.7871601300001,Stony River,Unincorporated CDP,Community,54,DOLWD Estimate,2011
-148.8773404,61.7095915900001,Sutton-Alpine,CDP,Community,1447,DOLWD Estimate,2011
-147.9767933,64.85543162,Ester,CDP,Community,2422,DOLWD Estimate,2011
-147.0383883,64.8772855300001,Two Rivers,CDP,Community,719,DOLWD Estimate,2011
-143.9699392,62.7065704,Slana,Unincorporated CDP,Community,147,DOLWD Estimate,2011
-147.4881462,64.8923484100001,Steele Creek,CDP,Place of Interest,6662,DOLWD Estimate,2011
-135.4422105,58.08906326,Whitestone Logging Camp,Unincorporated CDP,Place of Interest,17,DOLWD Estimate,2011
-150.1119993,62.32317025,Talkeetna,CDP,Community,876,DOLWD Estimate,2011
-160.2806073,59.07512832,Twin Hills,Unincorporated CDP,Community,74,DOLWD Estimate,2011
-132.3836088,56.470404,Wrangell,Unified Home Rule Borough,Community,2411,DCCED Commissioner Certified,2011
-151.3334305,60.61773773,Salamatof,CDP,Community,980,DOLWD Estimate,2011
-146.1129134,62.09714581,Tolsona,Unincorporated CDP,Community,30,DOLWD Estimate,2011
-134.4066397,58.2998397100001,Juneau,Unified Home Rule Borough,Community,32290,DCCED Commissioner Certified,2011
-170.2822883,57.1203994800001,Saint Paul,2nd Class City,Community,481,DCCED Commissioner Certified,2011
-151.1433954,61.06808705,Tyonek,CDP,Community,171,DOLWD Estimate,2011
-147.7605973,64.8898107300001,Farmers Loop,CDP,Place of Interest,4853,DOLWD Estimate,2011
-152.0777034,65.17118315,Tanana,1st Class City,Community,231,DCCED Commissioner Certified,2011
-148.6859726,60.7722882300001,Whittier,2nd Class City,Community,225,DCCED Commissioner Certified,2011
-147.9691582,64.8258662200001,Chena Ridge,CDP,Place of Interest,5791,DOLWD Estimate,2011
-143.3559974,63.3762792000001,Tanacross,Unincorporated CDP,Community,136,DOLWD Estimate,2011
